2026-05-23 17:22:08,250 | INFO | Searching Women's Footwear
2026-05-23 17:22:16,672 | INFO | Completed scenario: Heels Negative
2026-05-23 17:29:09,081 | INFO | Starting scenario: Women's Dresses E2E
2026-05-23 17:29:09,082 | INFO | Chrome browser launched
2026-05-23 17:29:09,082 | INFO | Maximized browser window
2026-05-23 17:29:11,583 | INFO | Opened Myntra website
2026-05-23 17:29:16,381 | INFO | Navigating to Myntra homepage
2026-05-23 17:29:16,382 | INFO | Searching GENZ menu
2026-05-23 17:29:23,885 | INFO | Hovered on GENZ
2026-05-23 17:29:31,891 | INFO | Searching Women's Western Wear section
2026-05-23 17:29:36,807 | INFO | Clicked Women's Dresses
2026-05-23 17:29:36,835 | INFO | Verifying products are displayed
2026-05-23 17:29:38,264 | INFO | Products loaded successfully
2026-05-23 17:29:38,266 | INFO | Opening first product
2026-05-23 17:29:38,646 | INFO | First product clicked
2026-05-23 17:29:38,647 | INFO | Switching to product tab
2026-05-23 17:29:38,683 | INFO | Selecting product size
2026-05-23 17:29:42,908 | INFO | Size selected successfully
2026-05-23 17:29:45,913 | INFO | Clicking Add To Bag
2026-05-23 17:29:46,147 | INFO | Item added to shopping bag
2026-05-23 17:29:46,147 | INFO | Verifying Add To Bag operation
2026-05-23 17:29:51,339 | INFO | Opening Shopping Bag
2026-05-23 17:29:53,471 | INFO | Verifying item exists in bag
2026-05-23 17:29:53,509 | INFO | Item successfully verified
2026-05-23 17:29:53,582 | INFO | Clicking Place Order button
2026-05-23 17:29:53,667 | INFO | Place Order page opened
2026-05-23 17:29:55,336 | INFO | Completed scenario: Women's Dresses E2E
2026-05-23 17:29:58,362 | INFO | Starting scenario: Men's T-Shirts Positive
2026-05-23 17:29:58,362 | INFO | Chrome browser launched
2026-05-23 17:29:58,364 | INFO | Maximized browser window
2026-05-23 17:30:05,112 | INFO | Opened Myntra website
2026-05-23 17:30:05,119 | INFO | Navigating to Myntra homepage
2026-05-23 17:30:05,120 | INFO | Searching GENZ menu
2026-05-23 17:30:12,516 | INFO | Hovered on GENZ
2026-05-23 17:30:20,520 | INFO | Searching Men's Casual Wear section
2026-05-23 17:30:20,804 | INFO | Completed scenario: Men's T-Shirts Positive
2026-05-23 17:30:23,643 | INFO | Starting scenario: Men's Kurtas Positive
2026-05-23 17:30:23,644 | INFO | Chrome browser launched
2026-05-23 17:30:23,644 | INFO | Maximized browser window
2026-05-23 17:30:28,213 | INFO | Opened Myntra website
2026-05-23 17:30:28,222 | INFO | Navigating to Myntra homepage
2026-05-23 17:30:28,224 | INFO | Searching GENZ menu
2026-05-23 17:30:35,694 | INFO | Hovered on GENZ
2026-05-23 17:30:45,993 | INFO | Completed scenario: Men's Kurtas Positive
2026-05-23 17:30:46,113 | INFO | Starting scenario: Men's Shoes Positive
2026-05-23 17:30:46,113 | INFO | Chrome browser launched
2026-05-23 17:30:46,113 | INFO | Maximized browser window
2026-05-23 17:30:49,432 | INFO | Opened Myntra website
2026-05-23 17:30:49,447 | INFO | Completed scenario: Men's Shoes Positive
2026-05-23 17:30:49,472 | INFO | Starting scenario: Beauty Skincare Positive
2026-05-23 17:30:49,473 | INFO | Chrome browser launched
2026-05-23 17:30:49,474 | INFO | Maximized browser window
2026-05-23 17:30:53,288 | INFO | Opened Myntra website
2026-05-23 17:30:53,301 | INFO | Completed scenario: Beauty Skincare Positive
2026-05-23 17:30:53,322 | INFO | Starting scenario: Jewellery Negative
2026-05-23 17:30:53,324 | INFO | Chrome browser launched
2026-05-23 17:30:53,325 | INFO | Maximized browser window
2026-05-23 17:30:56,918 | INFO | Opened Myntra website
2026-05-23 17:30:56,927 | INFO | Completed scenario: Jewellery Negative
2026-05-23 17:30:56,939 | INFO | Starting scenario: Heels Negative
2026-05-23 17:30:56,940 | INFO | Chrome browser launched
2026-05-23 17:30:56,941 | INFO | Maximized browser window
2026-05-23 17:31:00,838 | INFO | Opened Myntra website
2026-05-23 17:31:00,849 | INFO | Completed scenario: Heels Negative
